id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2207,Habitaci√≥n en la mejor zona de la Ciudad,6485794,Amanda,,CuauhtÈmoc,19.41638,-99.17707,Private room,796,1,52,12/11/2022,0.75,3,349,10,
2208,Casa en Condesa con desayuno!,54788375,Celine,,CuauhtÈmoc,19.40835,-99.17306,Private room,340,1,9,05/04/2020,0.13,2,273,0,
2209,Amplio departamento en Popotla.,16585748,Isidro,,Miguel Hidalgo,19.45552,-99.1743,Entire home/apt,1446,2,82,25/12/2022,1.16,2,296,24,
2210,"Lovely Loft Polanco, as good as it gets!",48106570,Alex,,Miguel Hidalgo,19.43528,-99.20038,Entire home/apt,733,1,229,18/12/2022,3.25,14,365,17,
2211,Cheerful department very centric near to WTC,63183558,Lidia,,Benito Ju·rez,19.37787,-99.17193,Entire home/apt,828,2,312,18/12/2022,4.47,1,342,54,
2212,The best view in santa fe ! Gym+ Padel,40280362,Myriam,,Cuajimalpa de Morelos,19.36121,-99.26979,Entire home/apt,1944,3,24,25/08/2021,0.4,1,89,0,
2213,Rec√°mara Dos en CDMX,115584349,Abel,,CuauhtÈmoc,19.43294,-99.14146,Private room,399,1,104,05/09/2021,2.11,3,243,0,
2214,Apartamento en zona sur Tlalpan,117172910,Gabriela,,Tlalpan,19.29783,-99.13604,Entire home/apt,571,1,153,16/12/2022,2.17,1,357,39,
2215,"3 bed/2 bath apt, Santa Fe within 7 mins/2 miles",43721762,Sergio,,¡lvaro ObregÛn,19.35159,-99.24831,Entire home/apt,769,3,96,11/12/2022,1.4,1,365,13,
2216,Charming apartment and cozy bedroom,59343380,Laura,,CuauhtÈmoc,19.43286,-99.16697,Private room,500,2,2,18/11/2018,0.03,1,164,0,
2217,Stylish Loft,46247902,Roberto,,¡lvaro ObregÛn,19.34874,-99.25242,Entire home/apt,820,2,18,23/11/2022,0.26,6,365,2,
2218,Beautiful room in the Condesa,116693993,Maria Eugenia,,CuauhtÈmoc,19.41545,-99.1744,Private room,450,2,252,03/11/2021,3.59,3,151,0,
2219,DEPTOMejor ubicaci√≥n imposible,63099189,Gabriela,,Benito Ju·rez,19.38357,-99.1797,Entire home/apt,1299,2,56,08/08/2022,0.78,1,136,6,
2220,MEJOR UBIC AL SUR DE LA CDMX rec 4,105632935,Blanca Estela,,Benito Ju·rez,19.35867,-99.14556,Private room,300,2,17,11/08/2022,0.28,3,362,3,
2221,Bonito y asoleado departamento,11463951,Julia,,Benito Ju·rez,19.38773,-99.18446,Entire home/apt,1200,3,1,02/10/2017,0.02,2,273,0,
2222,MEJOR UBICA AL SUR DE LA CDMX rec 2,105632935,Blanca Estela,,Benito Ju·rez,19.35894,-99.14704,Private room,250,2,17,24/06/2022,0.24,3,152,4,
2223,1B - Suite Rio San Angel (1BR/1BA Double),6890179,Juan Gabriel,,¡lvaro ObregÛn,19.35265,-99.19356,Entire home/apt,950,3,68,25/11/2022,0.98,17,350,8,
2224,2C - Suite Calandria in San Angel - 1BR/1BA Double,6890179,Juan Gabriel,,¡lvaro ObregÛn,19.35186,-99.19276,Entire home/apt,950,3,55,05/11/2022,0.78,17,365,4,
2225,1A - Suite Monasterio  San Angel (1BR/1BA double),6890179,Juan Gabriel,,¡lvaro ObregÛn,19.35181,-99.19275,Entire home/apt,950,3,43,23/11/2022,0.61,17,350,5,
2226,5B - Suite Cultura de San Angel - 1BR/1BA Double,6890179,Juan Gabriel,,¡lvaro ObregÛn,19.3518,-99.19164,Entire home/apt,950,3,42,21/11/2022,0.6,17,365,5,
2227,Mira la ciudad desde las alturas en un departamento panor√°mico en la Roma,27176723,Natalia,,CuauhtÈmoc,19.42151,-99.16674,Entire home/apt,2916,3,202,19/12/2022,2.91,1,278,33,
2228,Easy Stay,106732364,Jos√© Luis,,Miguel Hidalgo,19.43478,-99.19039,Private room,679,2,224,26/12/2022,3.18,3,355,47,
2229,Inmejorable ubicaci√≥n y lugar seguro,120569685,Juan,,Miguel Hidalgo,19.44818,-99.17217,Private room,600,1,3,29/11/2019,0.08,1,365,0,
2230,Private room in cozy house complex in Condesa,102279861,Leo,,CuauhtÈmoc,19.41753,-99.17574,Private room,2500,3,30,21/08/2018,0.43,1,179,0,
2231,Habitaci√≥n s√∫per c√©ntrica Ciudad de M√©xico,36748575,Tere,,CuauhtÈmoc,19.43965,-99.14356,Private room,320,1,80,16/03/2020,1.15,1,347,0,
2232,Radiant Apartment with a Balcony in Roma Norte,4821807,Alex,,CuauhtÈmoc,19.42181,-99.1569,Entire home/apt,1469,3,235,25/11/2022,3.32,3,288,29,
2233,Departamento Av. Universidad en Coyoac·n,42059990,Enrique,,Coyoac·n,19.34577,-99.18004,Entire home/apt,1300,2,72,04/09/2022,1.01,1,360,8,
