id,neighbourhood,room_type,price,minimum_nights,minimum_price
911,Benito Juárez,Entire home/apt,900,2,1800
912,Miguel Hidalgo,Entire home/apt,1129,1,1129
913,Cuauhtémoc,Entire home/apt,1738,2,3476
914,Coyoacán,Private room,918,2,1836
915,Álvaro Obregón,Private room,594,2,1188
916,Iztapalapa,Private room,389,1,389
917,Cuauhtémoc,Private room,763,1,763
918,Cuauhtémoc,Private room,787,1,787
919,Cuauhtémoc,Private room,776,1,776
920,Miguel Hidalgo,Entire home/apt,1705,1,1705
921,Miguel Hidalgo,Entire home/apt,1270,2,2540
922,Cuauhtémoc,Entire home/apt,526,1,526
923,Coyoacán,Private room,619,1,619
924,Cuauhtémoc,Private room,400,3,1200
925,Miguel Hidalgo,Private room,600,1,600
926,Benito Juárez,Private room,4500,1,4500
927,Cuauhtémoc,Entire home/apt,1982,2,3964
928,Benito Juárez,Private room,250,3,750
929,Cuauhtémoc,Private room,4173,3,12519
930,Miguel Hidalgo,Entire home/apt,750,3,2250
931,Cuauhtémoc,Private room,592,2,1184
932,La Magdalena Contreras,Private room,550,1,550
933,Miguel Hidalgo,Entire home/apt,1019,2,2038
934,Cuauhtémoc,Entire home/apt,1407,2,2814
935,Miguel Hidalgo,Entire home/apt,970,3,2910
936,Cuauhtémoc,Entire home/apt,1372,2,2744
937,Cuauhtémoc,Entire home/apt,1900,7,13300
938,Cuauhtémoc,Entire home/apt,1292,5,6460
939,Benito Juárez,Private room,680,1,680
940,Tlalpan,Entire home/apt,650,2,1300
941,Cuauhtémoc,Private room,325,2,650
942,Tlalpan,Private room,550,1,550
943,Venustiano Carranza,Entire home/apt,1653,2,3306
944,Coyoacán,Entire home/apt,7167,2,14334
945,Coyoacán,Entire home/apt,1147,2,2294
946,Cuauhtémoc,Private room,1500,2,3000
947,Venustiano Carranza,Entire home/apt,389,1,389
948,Coyoacán,Entire home/apt,491,2,982
949,Gustavo A. Madero,Entire home/apt,758,1,758
950,Iztapalapa,Entire home/apt,340,3,1020
951,Cuauhtémoc,Entire home/apt,880,4,3520
952,Cuauhtémoc,Private room,850,2,1700
